1571830613,0,0,2,"DA,C2,CQ,CK;DJ,D4,DK,DQ;D9,HK,D10,D8;D3,HJ,D7,D6;SQ,H7,D5,H8;H10,H6,D2,SK;H5,CA,C8,CJ;H4,C10,C3,C9;H2,C7,HA,C6;SA,C5,HQ,C4;SJ,S9,S3,S10;S7,S8,H9,S6;S2,S5,H3,S4"
1571830613,0,0,2,"CA,C2,CK,C10;D6,DQ,DJ,DA;D2,D4,D10,DK;H10,D3,D9,D8;H9,SQ,D5,D7;CJ,CQ,C9,C6;S9,SK,SA,SJ;C7,HA,C8,C5;S6,S7,S8,S10;H6,S5,S3,S2;H4,S4,HK,HJ;C4,HQ,H5,H7;C3,H8,H3,H2"
1571830613,0,1,2,"C10,CQ,CK,C2;D2,DA,DK,DQ;SQ,DJ,D10,D5;HJ,D9,D6,D4;H10,D8,HA,D3;H9,D7,HQ,H6;C9,C7,CJ,CA;C8,HK,C6,C4;C3,H4,C5,SA;SJ,S10,S8,SK;H8,S7,S5,S9;H7,S3,S2,S6;H3,H2,H5,S4"
1571830613,0,2,2,"CA,C2,C9,CJ;DQ,D9,DA,DK;D8,D6,DJ,D10;HQ,D3,D7,D5;H10,HJ,D4,SQ;H7,H9,D2,H8;CK,CQ,C3,C10;C7,H5,HA,C8;C6,H4,HK,C5;S9,SA,SK,S5;S6,S10,SJ,S4;S2,H3,S8,S3;H6,H2,S7,C4"
1571830613,0,0,2,"C4,CA,C10,C2;D10,DA,DK,DQ;HJ,CK,C9,CQ;H5,CJ,C6,C3;H3,C8,HA,H10;S10,C7,HQ,H9;S9,C5,H4,H7;S7,S2,S5,SJ;D6,SQ,D9,DJ;D5,HK,D8,D7;D2,H8,D4,SA;S6,H6,D3,SK;S4,H2,S3,S8"
1571830613,0,1,2,"CA,C2,CK,C10;DK,HA,DA,D7;DJ,H10,DQ,D2;D8,H7,D10,SQ;D4,H6,D9,H5;D3,H3,D6,H4;HQ,H2,D5,S9;HJ,CJ,CQ,C8;H9,C9,C7,C4;H8,C5,C6,C3;SK,S8,SA,S7;SJ,S5,S2,S6;S10,S3,HK,S4"
1571830613,0,18,2,"C2,CA,C8,C9;DJ,DK,DQ,DA;D10,D4,D6,D7;D9,D2,D3,SQ;D8,H3,HA,HK;D5,CK,HQ,H8;CJ,CQ,C6,C7;C3,C10,HJ,H6;H7,C5,H10,H4;H5,C4,H9,H2;SJ,S9,SA,SK;S10,S4,S7,S8;S6,S2,S3,S5"
1571830613,0,8,2,"C2,CK,CQ,CA;D10,DK,DA,D6;D7,D9,DQ,SQ;D5,HK,DJ,HA;D4,H10,D8,HQ;SA,SJ,S9,SK;D3,H6,HJ,CJ;D2,H5,H9,S6;C10,C9,H7,C6;C8,C7,H3,C5;C4,H4,H2,C3;S5,S10,S7,S4;H8,S8,S2,S3"
1571830613,0,7,2,"CK,C2,CA,CJ;DK,DQ,D10,DA;D7,DJ,SQ,D9;H10,D5,HK,D8;SA,D3,HJ,D6;SK,D2,H6,D4;CQ,C9,C7,C10;C5,C8,C6,HQ;C4,C3,H5,H9;S10,S7,SJ,H8;S9,S4,S8,H7;S6,HA,S3,H3;S5,H4,S2,H2"
1571830613,0,18,2,"CK,C10,C2,CJ;DQ,DA,D10,DJ;D9,DK,D7,D5;D8,D4,HK,D3;D6,HQ,H7,SQ;D2,HJ,H6,SA;C6,C5,CA,C9;HA,H5,CQ,SJ;H10,H4,C8,S10;H9,H3,C7,S8;H8,SK,C4,S6;H2,S9,C3,S5;S2,S3,S7,S4"
1571830613,0,0,2,"CJ,CA,C2,C10;DK,D10,DA,DQ;D9,SQ,D5,DJ;D6,HK,D2,D8;D4,HQ,H5,D7;C8,CQ,CK,C7;C4,C9,C5,HA;H9,C6,C3,HJ;SJ,S5,SK,SA;S3,H10,S9,S10;H8,H7,S7,S8;H3,H6,S4,S6;D3,H4,S2,H2"
1571830613,0,19,2,"CK,C7,C10,C2;DK,D10,DA,D7;DQ,D9,D6,HA;DJ,D8,SQ,H10;D5,D4,HJ,H9;D2,D3,H6,H8;CJ,C5,C3,CA;C9,HK,H4,CQ;C8,HQ,SJ,C6;C4,S10,S9,H7;SK,S4,S8,SA;H2,S3,S6,H5;S7,S2,S5,H3"
1571830613,0,0,2,"D10,C2,CK,CJ;D8,DQ,D7,DA;D4,HA,D6,DK;D3,HQ,D5,DJ;D2,H9,H8,D9;HJ,CA,C6,C10;H10,CQ,C4,C8;H7,C9,C3,C5;SJ,C7,H6,SQ;S9,SA,S10,SK;S7,S5,S3,S8;S6,H4,H5,HK;S2,S4,H2,H3"
1571830613,0,5,2,"C2,D10,CQ,CA;D7,D2,DA,DK;D6,HA,DQ,DJ;HQ,HK,D9,D8;H8,H10,D3,D5;H6,H4,SQ,D4;CK,H3,C10,CJ;C9,SK,C8,C5;C6,S10,C7,HJ;SJ,S8,S5,SA;S9,S7,H9,S3;C4,S6,H5,H7;C3,S4,H2,S2"
