1571829260,2,21,2,"CA,CK,CJ,C2;D5,D10,DA,DK;D3,D4,DJ,DQ;HK,HA,D9,D6;H10,H5,D8,SQ;H8,H2,D7,H7;H6,SA,D2,SJ;C6,CQ,C10,C9;H4,C7,HQ,C8;H3,C5,HJ,C4;SK,C3,H9,S10;S6,S8,S9,S4;S5,S3,S7,S2"
1571829260,2,3,2,"C2,CJ,CA,CK;DQ,DA,DK,D8;D5,D6,DJ,D7;D4,HQ,D10,D2;D3,H10,D9,HA;CQ,C9,C3,C8;C10,C6,SQ,C5;C7,C4,HK,HJ;SK,S9,SA,SJ;S10,S5,S4,S8;S6,H7,S2,S7;H9,H6,H8,H5;S3,H3,H2,H4"
1571829260,2,0,2,"CA,C2,CJ,CQ;DJ,DK,DQ,DA;D8,D10,HQ,D9;D5,D6,H7,D7;D2,D3,H4,D4;CK,C8,C7,C10;S9,SJ,S10,HA;SQ,C5,C6,C9;H9,SK,H2,HK;H8,S8,S7,HJ;H5,S6,S5,H10;SA,C4,S4,H6;S2,C3,S3,H3"
1571829260,2,5,2,"C2,CQ,C9,CA;DK,DQ,DA,D10;D9,DJ,D8,D5;CK,C10,C5,CJ;D7,SQ,D6,H9;D3,HA,D4,H7;HJ,HK,D2,H6;S8,S4,S10,SA;H10,S3,S7,SK;H8,HQ,S5,SJ;H4,C8,H5,S9;C7,C6,H3,S6;C3,C4,H2,S2"
1571829260,2,0,2,"CK,CA,C10,C2;D6,DA,DQ,D8;D5,DK,DJ,D7;C9,CQ,HK,CJ;C8,C6,HJ,C4;C7,C5,H10,H7;C3,SQ,H9,H6;SA,SJ,SK,S4;S10,S6,S8,S3;S9,S5,S7,H3;HA,H4,H8,D4;HQ,H2,D10,D3;H5,S2,D9,D2"
1571829260,2,19,2,"C7,CJ,C2,CA;D8,DA,DK,DQ;D7,D10,DJ,D9;C4,C8,CQ,CK;D3,D5,HQ,D6;HK,D4,HJ,D2;C3,C6,C10,HA;H10,SQ,C9,H9;H8,H7,C5,H6;SJ,S8,SK,SA;S10,S5,S3,S9;S7,S4,H4,S6;H3,H5,H2,S2"
1571829260,2,16,2,"CJ,D9,C2,CA;DJ,D3,DA,DK;D10,HA,D4,DQ;D8,HQ,HK,D7;D6,H9,H10,D5;C10,H6,CK,C8;C9,SK,CQ,C5;C7,SJ,C6,C4;S6,S10,S9,S2;S5,S8,SA,H5;SQ,S7,C3,H4;HJ,S4,H8,H3;H7,S3,H2,D2"
1571829260,2,2,2,"C2,CJ,CA,CK;DK,DA,DJ,D8;D9,DQ,SQ,D7;D4,D10,HA,D3;H9,D6,HK,D2;H6,D5,H8,HQ;C5,C7,CQ,C9;SA,HJ,C10,C6;SK,H10,C8,C4;SJ,S9,S7,S10;S4,S8,S6,S5;S3,H7,H3,H4;S2,H5,H2,C3"
1571829260,2,19,2,"CA,CQ,CJ,C2;D10,DQ,DA,D5;D7,D8,DK,D3;D4,D2,DJ,SQ;HJ,HK,D9,H10;H8,HQ,D6,H7;C7,C9,C10,CK;C5,C8,C6,C4;S7,SK,SA,S10;S6,SJ,S4,S5;S2,S9,HA,S3;H3,S8,H6,H5;C3,H9,H4,H2"
1571829260,2,0,2,"C2,CA,C10,CK;D7,DA,DJ,DK;D3,D8,D6,DQ;HA,D5,SQ,D10;HQ,D4,H9,D9;H10,H8,H7,D2;CQ,CJ,C8,C9;C7,C4,H6,C6;C5,H3,H5,HK;C3,SK,H4,HJ;SJ,S8,S10,SA;S9,S7,S4,S3;S5,S6,S2,H2"
1571829260,2,0,2,"CQ,C9,CK,C2;DQ,DA,DJ,D7;D2,DK,D9,D6;HQ,D10,D4,D3;H10,D8,HA,H9;H4,D5,HK,H8;CJ,C8,C6,CA;C5,SQ,HJ,C10;C3,H6,H7,C7;SA,H5,H3,C4;SJ,SK,S10,S6;S7,S9,S8,S4;S5,S3,S2,H2"
1571829260,2,19,2,"CA,CQ,C2,CK;D10,D7,DA,DQ;D8,D5,DK,D6;HA,D3,DJ,D4;HJ,SQ,D9,H9;H8,HK,D2,H6;CJ,C9,C10,C5;C8,C4,HQ,C3;C7,H10,H4,S9;C6,H7,H3,S6;SK,SA,S10,S5;SJ,S8,S7,S4;S3,H5,H2,S2"
