1571639893,3,4,0,"CA,CQ,C8,C2;DK,DQ,D9,DA;DJ,D10,D8,D2;D3,D7,D6,HA;HK,D5,SQ,H6;HQ,D4,H9,CK;C7,C9,C5,CJ;C6,C3,H5,C10;H10,HJ,H3,C4;S8,SJ,SK,SA;S7,S10,S4,S9;H4,H8,H2,S5;S6,H7,S3,S2"
1571639893,3,2,0,"CQ,C4,CA,C2;DK,DA,DQ,D8;D5,D10,DJ,D3;HQ,D9,D7,D2;H9,D6,D4,HK;S5,SJ,SK,S9;CJ,H7,C10,CK;C5,H6,C8,C9;H4,H5,C7,C6;H2,H3,HA,H10;S4,SA,HJ,C3;S3,S10,H8,S8;S2,S6,SQ,S7"
1571639893,3,13,0,"CJ,CQ,C2,CK;DK,D10,DQ,DA;DJ,D5,D7,D4;D9,D3,D6,HA;D8,H7,HK,HJ;D2,H6,CA,H9;S9,SJ,S10,S7;SQ,C8,C9,C10;HQ,C6,C7,C4;H10,C3,C5,H2;S8,H5,SA,SK;S6,H4,S4,S5;H8,H3,S2,S3"
1571639893,3,5,0,"C2,CK,CA,CQ;D4,DA,DK,DQ;HK,DJ,D8,D10;H9,D9,D7,D5;H6,D6,D3,SQ;C10,CJ,C7,C9;C3,C5,C6,C8;SA,SK,S9,SJ;S10,S5,S7,S8;S6,S4,HQ,S3;H5,HA,H8,HJ;H4,H7,D2,H10;H3,H2,C4,S2"
1571639893,3,0,0,"C8,CA,C2,CQ;DA,D10,DK,D5;DQ,D9,D8,D3;DJ,D7,HA,SQ;D6,D2,H9,HQ;D4,H10,H8,H5;C4,CK,CJ,C6;HK,C10,H6,C5;HJ,C9,H4,C3;H7,C7,H3,SA;SJ,SK,S10,S7;S8,S4,S9,S5;H2,S2,S6,S3"
1571639893,3,1,0,"CQ,C2,CA,C8;DQ,DA,D10,DK;DJ,D7,D8,D4;D9,HK,D5,D3;D6,H7,HA,D2;CJ,CK,C4,SQ;C10,C7,C3,HQ;C9,H5,H6,HJ;C6,SJ,H4,H9;C5,S10,H3,H8;S7,S6,S9,SA;H10,S3,S8,SK;H2,S2,S5,S4"
1571639893,3,4,0,"CK,C5,CJ,C2;DK,DQ,DA,D10;DJ,D3,D9,D5;D8,HJ,D7,D4;D6,H8,SQ,HK;D2,H7,H3,H10;C8,H2,C10,CA;C3,SA,C9,CQ;HA,SK,C7,C4;HQ,S10,C6,H9;S5,S9,S7,SJ;H5,S8,S6,H6;S3,S2,S4,H4"
1571639893,3,14,0,"CA,CQ,C2,CK;DK,DJ,DA,DQ;D7,D6,D10,D8;D3,HJ,D9,D5;SQ,H6,D2,D4;H10,C10,CJ,C9;SK,C8,C6,C4;S10,C7,C3,HK;S9,C5,HA,HQ;S8,SA,H8,SJ;S7,S3,H7,S6;S5,H5,H4,S4;S2,H3,H2,H9"
1571639893,3,5,0,"CA,C8,C2,CJ;D6,DA,DK,DJ;HJ,D7,DQ,D10;H6,D4,D5,D9;H4,D3,D2,D8;CK,C4,C10,C7;CQ,HK,C9,C5;C3,HQ,C6,H9;S6,S10,SJ,S8;S5,S9,S2,S3;SA,S7,SQ,SK;H3,H10,HA,H8;H2,S4,H5,H7"
1571639893,3,5,0,"C2,C9,C10,CK;D10,D9,DA,DK;HJ,D4,DQ,D8;H10,D3,DJ,D7;H9,D2,D6,D5;CA,C7,C8,CQ;C4,C5,C6,CJ;S10,H8,HA,C3;S8,S4,S7,SJ;S6,SK,SA,S9;S5,H6,HQ,HK;S3,H5,H7,H2;S2,H3,H4,SQ"
1571639893,3,8,0,"CA,C7,C2,CK;DK,DJ,D10,DA;DQ,D9,D8,D7;D2,SQ,D6,D5;HK,HQ,D4,D3;CQ,C6,C10,C9;CJ,C3,C8,H9;C4,H8,C5,H7;S10,SA,S9,SK;S3,S8,S6,SJ;HJ,S2,HA,S7;H4,H6,H10,S5;H2,H3,H5,S4"
1571639893,3,20,0,"CA,CQ,DA,C2;DJ,D8,DK,D7;D10,D3,DQ,H8;D6,HK,D9,H4;D5,H7,D4,CK;CJ,C10,HQ,C9;C8,C5,HJ,C7;C3,H6,H10,C6;SQ,H5,D2,C4;S6,S8,SJ,SA;S3,S4,S10,SK;HA,H3,S7,S9;H9,H2,S2,S5"
1571639893,3,0,0,"C2,CK,C10,CA;DK,D10,DA,D9;DQ,HK,DJ,D6;D8,HJ,D5,D4;D7,H7,SQ,D3;CQ,C9,C4,C8;CJ,C6,H10,C7;C5,H5,H9,HA;C3,H2,H8,HQ;S10,SA,S9,SJ;S3,SK,S5,S6;H6,S8,S2,S4;H3,S7,H4,D2"
